Particle#,Name,Category,Standard_Model_Status,Unbounded_Assumptions,S_observable_Analysis,ARC_Status,Bounded_Alternative,Evidence,File_Reference
1,Electron (e⁻),Lepton,Fundamental,None - bounded charge mass spin,Stable lowest-energy charged lepton. Bounded properties. Observable.,REAL,No change needed,Stable 13.8Gy. Bounded charge ±e. Mass 0.511 MeV fixed.,proofs/STANDARD_MODEL_ETHERS.md
2,Electron Neutrino (νe),Lepton,Fundamental,Near-zero mass continuous; flavor oscillation,Mass should be discrete eigenvalue. Oscillation = S_observable sampling.,REAL with caveat,Discrete mass eigenstate,Neutrino oscillation observed - discrete sampling of flavor basis,tasks/research/research-177.md
3,Muon (μ⁻),Lepton,Fundamental (2nd gen),WHY does it exist? 207× electron mass - arbitrary,2nd generation = excited state of electron? Resonance not new particle?,ETHER (verified),Electron resonance at 105.7 MeV,Decays to electron. Unstable (2.2μs). Why separate particle?,proofs/STANDARD_MODEL_ETHERS.md
4,Muon Neutrino (νμ),Lepton,Fundamental (2nd gen),Why separate from νe? Oscillates to other flavors,Flavor = sampling basis. All neutrinos = one particle different projections?,ETHER (verified),Single neutrino - discrete flavor sampling,Oscillation proves flavors mix. Not truly separate particles.,proofs/STANDARD_MODEL_ETHERS.md
5,Tau (τ⁻),Lepton,Fundamental (3rd gen),WHY does it exist? 3477× electron mass - arbitrary,3rd generation = higher resonance? Even more unstable (2.9×10⁻¹³s),ETHER (verified),Electron resonance at 1777 MeV,Very short-lived. Decays to lighter leptons. Why needed?,proofs/STANDARD_MODEL_ETHERS.md
6,Tau Neutrino (ντ),Lepton,Fundamental (3rd gen),Why 3 neutrino flavors? Oscillation mixes all,Same as νμ - flavor sampling artifact?,ETHER (verified),Single neutrino - discrete flavor sampling,Last neutrino discovered (2000). Oscillates like others.,proofs/STANDARD_MODEL_ETHERS.md
7,Up Quark (u),Quark,Fundamental,Fractional charge (+2/3e) - why not integer?,Lightest quark. Bounded. But fractional charge = S_complete artifact?,REAL with caveat,Integer charge in composite only,Never isolated. Only seen in hadrons with integer charge.,proofs/STANDARD_MODEL_ETHERS.md
8,Down Quark (d),Quark,Fundamental,Fractional charge (-1/3e) - why not integer?,Second lightest. Confined. Fractional charge problematic.,REAL with caveat,Integer charge in composite only,With u quark makes proton/neutron. Confinement = S_observable boundary.,proofs/STANDARD_MODEL_ETHERS.md
9,Charm Quark (c),Quark,Fundamental (2nd gen),WHY 2nd generation? 500× up quark mass,Like muon - excited u quark state? Resonance?,ETHER (verified),Up quark resonance at 1.27 GeV,Unstable. Decays to lighter quarks. Why separate?,proofs/STANDARD_MODEL_ETHERS.md
10,Strange Quark (s),Quark,Fundamental (2nd gen),WHY 2nd generation? 47× down quark mass,Like muon - excited d quark state?,ETHER (verified),Down quark resonance at 95 MeV,Unstable. "Strangeness" = just another quantum number.,proofs/STANDARD_MODEL_ETHERS.md
11,Top Quark (t),Quark,Fundamental (3rd gen),WHY 3rd gen? 75000× up mass. Heaviest particle!,Highest resonance? 173 GeV = near electroweak scale,ETHER (verified),Up quark resonance at 173 GeV,Decays in 5×10⁻²⁵s. Barely exists. Why fundamental?,proofs/STANDARD_MODEL_ETHERS.md
12,Bottom Quark (b),Quark,Fundamental (3rd gen),WHY 3rd gen? 2100× down quark mass,Like tau - 3rd resonance level?,ETHER (verified),Down quark resonance at 4.18 GeV,Unstable. Decays. Named "beauty" - aesthetic not physical.,proofs/STANDARD_MODEL_ETHERS.md
13,Photon (γ),Gauge Boson,Fundamental,Massless continuous field,Discrete energy E=hν in S_observable. Field = S_complete.,REAL,Already discrete (quantized),Planck's quantization. Photons counted discretely.,proofs/STANDARD_MODEL_ETHERS.md
14,Gluon (g),Gauge Boson,Fundamental (×8),8 gluons from SU(3) - why this structure?,Confinement = S_observable boundary. 8 may reduce in bounded theory.,REINTERPRETED,Discrete color at S_observable boundary,Never isolated. Confinement already noted as S_observable effect.,proofs/csv/ethers.csv:34
15,W Boson (W±),Gauge Boson,Fundamental,Mass from Higgs (continuous SSB),Why 80.4 GeV? Arbitrary from continuous Higgs VEV.,REAL with caveat,Discrete mass eigenvalue,Heavy but observed. Mass should be discrete not continuous.,proofs/STANDARD_MODEL_ETHERS.md
16,Z Boson (Z⁰),Gauge Boson,Fundamental,Mass from Higgs (continuous SSB),Why 91.2 GeV? Arbitrary from continuous VEV.,REAL with caveat,Discrete mass eigenvalue,Observed at LEP. Mediates neutral current. Mass arbitrary?,proofs/STANDARD_MODEL_ETHERS.md
17,Higgs Boson (H),Scalar Boson,Fundamental,Continuous scalar field; infinite vacuum; hierarchy problem,Higgs mechanism = S_complete construction? VEV should be discrete.,ETHER (verified),Discrete symmetry breaking mechanism,125 GeV observed. But mechanism uses continuous field - problematic.,proofs/STANDARD_MODEL_ETHERS.md
18,Graviton (G),Hypothetical,Not observed,Spin-2 massless; assumes quantum gravity,Not in S_observable. Gravity = geometry (GR) not particle.,ETHER (eliminated),No graviton - gravity is geometric,Never observed. QFT artifact. Already in ethers.csv:28.,proofs/csv/ethers.csv:29
19,Antiparticles (all),Antimatter,Required by QFT,CPT from continuous Lorentz group,Discrete spacetime may not require full antimatter doubling?,REINTERPRETED,Reduced antimatter in discrete theory,Observed but: does discrete theory require full doubling?,proofs/STANDARD_MODEL_ETHERS.md
20,Virtual Particles,QFT construct,Mathematical,Exist only in calculations; violate energy conservation,Not in S_observable. Perturbation theory artifact.,ETHER (eliminated),No virtual particles - direct interaction,Never observed directly. Already in ethers.csv:33.,proofs/csv/ethers.csv:34
21,Color Charge (R/G/B),QCD property,Fundamental,SU(3) continuous gauge symmetry,Confinement = never observe isolated color = S_observable boundary,REINTERPRETED,Discrete color at boundary,Only colorless hadrons observed. Color = internal S_complete structure.,proofs/STANDARD_MODEL_ETHERS.md
22,Weak Isospin,Electroweak property,Fundamental,SU(2) continuous gauge symmetry,Broken to U(1) at low energy. Continuous breaking problematic?,REINTERPRETED,Discrete symmetry structure,Electroweak unification real but mechanism (Higgs) questionable.,proofs/STANDARD_MODEL_ETHERS.md
23,Hypercharge,Electroweak property,Fundamental,U(1) continuous gauge symmetry,Combined with isospin gives electric charge. Structure unclear.,REINTERPRETED,Discrete charge quantization,Why these quantum numbers? Ad hoc assignments.,proofs/STANDARD_MODEL_ETHERS.md
24,Three Generations,SM structure,Unexplained,WHY exactly 3? No theoretical reason,Generations = energy resonances. Only 1st gen stable = REAL. Others = excited.,ETHER pattern,Single generation + resonances,Biggest mystery. 3 is arbitrary. Bounded theory: resonance structure.,proofs/STANDARD_MODEL_ETHERS.md
25,Mass Hierarchy,SM parameters,Unexplained,Top/electron = 340000×. No explanation.,Continuous mass parameters. Should be discrete eigenvalue spectrum.,ETHER pattern,Discrete mass spectrum with structure,19 arbitrary parameters. All should derive from bounded structure.,proofs/STANDARD_MODEL_ETHERS.md
26,CKM Matrix,Quark mixing,Unexplained,4 arbitrary parameters for quark mixing,Mixing = discrete sampling of mass basis. Parameters not fundamental.,ETHER pattern,Discrete mixing from S_observable projection,Why these values? Should derive from bounded structure.,proofs/STANDARD_MODEL_ETHERS.md
27,PMNS Matrix,Neutrino mixing,Unexplained,4+ arbitrary parameters for neutrino mixing,Same as CKM - discrete sampling artifact,ETHER pattern,Discrete mixing from S_observable projection,Neutrino oscillation = sampling. Matrix = artifact.,proofs/STANDARD_MODEL_ETHERS.md
